dataset     , method , k, sigma, fold, held_out                                                          , lambda_1            , lambda_2           , lambda_2_row_ref    , block_size, d , lam                  , s , max_iter, train_ari         , test_ari          , n_train_matrices, n_test_matrices, source_file                                                               , notes
surveillance, TKSS   , 3,  0.5 ,    0, "['0006', '0013', '0022']"                                        ,                     ,                    ,                     ,           ,  1,  0.1                 ,  6,       30, 0.8250300879739488, 0.8082829078324302,              168,              24, gridsearch_surveillance_fold0_k3_sigma0p5_tkss_summary.csv                , 
surveillance, TKSS   , 3,  0.0 ,    1, "['0004', '0014', '0027']"                                        ,                     ,                    ,                     ,           , 11,  0.46415888336127775 ,  1,       30, 0.7969010243645128, 0.7722511968177996,              168,              24, gridsearch_surveillance_fold1_k3_sigma0_tkss_summary.csv                  , 
surveillance, TKSS   , 3,  0.25,    1, "['0004', '0014', '0027']"                                        ,                     ,                    ,                     ,           , 50,  2.154434690031882   ,  3,       30, 0.7977009930160573, 0.7810337188340256,              168,              24, gridsearch_surveillance_fold1_k3_sigma0p25_tkss_summary.csv               , 
surveillance, TKSS   , 3,  0.5 ,    1, "['0004', '0014', '0027']"                                        ,                     ,                    ,                     ,           ,  1,  0.1                 ,  8,       30, 0.8184922932604322, 0.8620728482118571,              168,              24, gridsearch_surveillance_fold1_k3_sigma0p5_tkss_summary.csv                , 
surveillance, TKSS   , 5,  0.0 ,    0, "['0006', '0013', '0014', '0022', '0027']"                        ,                     ,                    ,                     ,           , 11,  0.1                 ,  1,       30, 0.7582159644067143, 0.6749464722365505,               96,              24, gridsearch_surveillance_fold0_k5_sigma0_tkss_summary.csv                  , 
surveillance, TKSS   , 5,  0.25,    0, "['0006', '0013', '0014', '0022', '0027']"                        ,                     ,                    ,                     ,           ,  1,  0.1                 , 12,       30, 0.7673876066708583, 0.7395432642006471,               96,              24, gridsearch_surveillance_fold0_k5_sigma0p25_tkss_summary.csv               , 
surveillance, TKSS   , 5,  0.5 ,    0, "['0006', '0013', '0014', '0022', '0027']"                        ,                     ,                    ,                     ,           ,  1,  0.1                 , 12,       30, 0.8018482680355935, 0.746267103740828 ,               96,              24, gridsearch_surveillance_fold0_k5_sigma0p5_tkss_summary.csv                , 
surveillance, TKSS   , 5,  0.0 ,    1, "['0004', '0009', '0019', '0025', '0026']"                        ,                     ,                    ,                     ,           , 11,  0.001               ,  1,       30, 0.7466792271631985, 0.7202474882589089,               96,              24, gridsearch_surveillance_fold1_k5_sigma0_tkss_summary.csv                  , 
surveillance, TKSS   , 5,  0.25,    1, "['0004', '0009', '0019', '0025', '0026']"                        ,                     ,                    ,                     ,           , 60,  2.154434690031882   , 12,       30, 0.7541919124081412, 0.708211990491869 ,               96,              24, gridsearch_surveillance_fold1_k5_sigma0p25_tkss_summary.csv               , 
surveillance, TKSS   , 5,  0.5 ,    1, "['0004', '0009', '0019', '0025', '0026']"                        ,                     ,                    ,                     ,           ,  1,  0.1                 , 12,       30, 0.7722349095386827, 0.864720537728472 ,               96,              24, gridsearch_surveillance_fold1_k5_sigma0p5_tkss_summary.csv                , 
surveillance, TKSS   , 8,  0.0 ,    0, "['0004', '0006', '0009', '0013', '0014', '0022', '0026', '0027']",                     ,                    ,                     ,           , 21, 10.0                 ,  2,       30, 0.7583968756579195, 0.6927564286340573,               48,              24, gridsearch_surveillance_fold0_k8_sigma0_tkss_summary.csv                  , 
surveillance, TKSS   , 8,  0.25,    0, "['0004', '0006', '0009', '0013', '0014', '0022', '0026', '0027']",                     ,                    ,                     ,           , 60,  0.46415888336127775 , 12,       30, 0.764501627954016 , 0.6847907843429235,               48,              24, gridsearch_surveillance_fold0_k8_sigma0p25_tkss_summary.csv               , 
surveillance, TKSS   , 8,  0.5 ,    0, "['0004', '0006', '0009', '0013', '0014', '0022', '0026', '0027']",                     ,                    ,                     ,           , 50, 10.0                 , 12,       30, 0.7648490347576052, 0.6927917749410731,               48,              24, gridsearch_surveillance_fold0_k8_sigma0p5_tkss_summary.csv                , 
surveillance, TKSS   , 8,  0.0 ,    1, "['0001', '0005', '0011', '0015', '0019', '0023', '0024', '0025']",                     ,                    ,                     ,           , 21, 10.0                 ,  1,       30, 0.7217713885174101, 0.7646567070097939,               48,              24, gridsearch_surveillance_fold1_k8_sigma0_tkss_summary.csv                  , 
surveillance, TKSS   , 8,  0.25,    1, "['0001', '0005', '0011', '0015', '0019', '0023', '0024', '0025']",                     ,                    ,                     ,           ,  1,  0.46415888336127775 , 12,       30, 0.7368573441406762, 0.6651278372482173,               48,              24, gridsearch_surveillance_fold1_k8_sigma0p25_tkss_summary.csv               , 
surveillance, TKSS   , 8,  0.5 ,    1, "['0001', '0005', '0011', '0015', '0019', '0023', '0024', '0025']",                     ,                    ,                     ,           ,  1,  0.46415888336127775 ,  6,       30, 0.7580785307650153, 0.7179858237513527,               48,              24, gridsearch_surveillance_fold1_k8_sigma0p5_tkss_summary.csv                , 
surveillance, WTV-SSC, 3,  0.0 ,    0, "['0006', '0013', '0022']"                                        , 0.1                 ,                    , 0.021544346900318832,          2,   ,                      ,   ,      100, 0.9115312781396414, 0.8972377859767217,              168,              24, gridsearch_surveillance_fold0_k3_sigma0_ssc_sparse_block_tv_summary.csv   , "lambda_2 is NOT a flat constant -- it is derived per matrix from lambda_2_row_ref via the row-equivalent rescaling: D_raw = sliding_block_diff_matrix(N, block_size, normalize=False); f = ||D_raw||_2 / ||D_raw's row||; lambda_2 = f * lambda_2_row_ref (N = number of columns of the matrix being clustered). Uses the spectral-norm solver (norm_mode='spectral', the default), not the row-norm solver. See run_ssc_sparse_block_tv_rowscaled in icassp_ssc_tv2/final_code/sscbench/methods.py."
surveillance, WTV-SSC, 3,  0.25,    0, "['0006', '0013', '0022']"                                        , 0.021544346900318832,                    , 0.021544346900318832,          4,   ,                      ,   ,      100, 0.7545107244277949, 0.7970249781070412,              168,              24, gridsearch_surveillance_fold0_k3_sigma0p25_ssc_sparse_block_tv_summary.csv, "lambda_2 is NOT a flat constant -- it is derived per matrix from lambda_2_row_ref via the row-equivalent rescaling: D_raw = sliding_block_diff_matrix(N, block_size, normalize=False); f = ||D_raw||_2 / ||D_raw's row||; lambda_2 = f * lambda_2_row_ref (N = number of columns of the matrix being clustered). Uses the spectral-norm solver (norm_mode='spectral', the default), not the row-norm solver. See run_ssc_sparse_block_tv_rowscaled in icassp_ssc_tv2/final_code/sscbench/methods.py."
surveillance, WTV-SSC, 3,  0.5 ,    0, "['0006', '0013', '0022']"                                        , 0.021544346900318832,                    , 0.1                 ,          3,   ,                      ,   ,      100, 0.692623203952245 , 0.7001340261790251,              168,              24, gridsearch_surveillance_fold0_k3_sigma0p5_ssc_sparse_block_tv_summary.csv , "lambda_2 is NOT a flat constant -- it is derived per matrix from lambda_2_row_ref via the row-equivalent rescaling: D_raw = sliding_block_diff_matrix(N, block_size, normalize=False); f = ||D_raw||_2 / ||D_raw's row||; lambda_2 = f * lambda_2_row_ref (N = number of columns of the matrix being clustered). Uses the spectral-norm solver (norm_mode='spectral', the default), not the row-norm solver. See run_ssc_sparse_block_tv_rowscaled in icassp_ssc_tv2/final_code/sscbench/methods.py."
surveillance, WTV-SSC, 3,  0.0 ,    1, "['0004', '0014', '0027']"                                        , 0.021544346900318832,                    , 0.021544346900318832,          2,   ,                      ,   ,      100, 0.900829291324685 , 0.981478755305856 ,              168,              24, gridsearch_surveillance_fold1_k3_sigma0_ssc_sparse_block_tv_summary.csv   , "lambda_2 is NOT a flat constant -- it is derived per matrix from lambda_2_row_ref via the row-equivalent rescaling: D_raw = sliding_block_diff_matrix(N, block_size, normalize=False); f = ||D_raw||_2 / ||D_raw's row||; lambda_2 = f * lambda_2_row_ref (N = number of columns of the matrix being clustered). Uses the spectral-norm solver (norm_mode='spectral', the default), not the row-norm solver. See run_ssc_sparse_block_tv_rowscaled in icassp_ssc_tv2/final_code/sscbench/methods.py."
surveillance, WTV-SSC, 3,  0.25,    1, "['0004', '0014', '0027']"                                        , 0.021544346900318832,                    , 0.021544346900318832,          4,   ,                      ,   ,      100, 0.7457697607259005, 0.8582117240203018,              168,              24, gridsearch_surveillance_fold1_k3_sigma0p25_ssc_sparse_block_tv_summary.csv, "lambda_2 is NOT a flat constant -- it is derived per matrix from lambda_2_row_ref via the row-equivalent rescaling: D_raw = sliding_block_diff_matrix(N, block_size, normalize=False); f = ||D_raw||_2 / ||D_raw's row||; lambda_2 = f * lambda_2_row_ref (N = number of columns of the matrix being clustered). Uses the spectral-norm solver (norm_mode='spectral', the default), not the row-norm solver. See run_ssc_sparse_block_tv_rowscaled in icassp_ssc_tv2/final_code/sscbench/methods.py."
surveillance, WTV-SSC, 3,  0.5 ,    1, "['0004', '0014', '0027']"                                        , 0.021544346900318832,                    , 0.1                 ,          2,   ,                      ,   ,      100, 0.6860205797524789, 0.7837552732587595,              168,              24, gridsearch_surveillance_fold1_k3_sigma0p5_ssc_sparse_block_tv_summary.csv , "lambda_2 is NOT a flat constant -- it is derived per matrix from lambda_2_row_ref via the row-equivalent rescaling: D_raw = sliding_block_diff_matrix(N, block_size, normalize=False); f = ||D_raw||_2 / ||D_raw's row||; lambda_2 = f * lambda_2_row_ref (N = number of columns of the matrix being clustered). Uses the spectral-norm solver (norm_mode='spectral', the default), not the row-norm solver. See run_ssc_sparse_block_tv_rowscaled in icassp_ssc_tv2/final_code/sscbench/methods.py."
surveillance, WTV-SSC, 5,  0.0 ,    0, "['0006', '0013', '0014', '0022', '0027']"                        , 0.021544346900318832,                    , 0.021544346900318832,          2,   ,                      ,   ,      100, 0.8962491736585788, 0.9274703884063492,               96,              24, gridsearch_surveillance_fold0_k5_sigma0_ssc_sparse_block_tv_summary.csv   , "lambda_2 is NOT a flat constant -- it is derived per matrix from lambda_2_row_ref via the row-equivalent rescaling: D_raw = sliding_block_diff_matrix(N, block_size, normalize=False); f = ||D_raw||_2 / ||D_raw's row||; lambda_2 = f * lambda_2_row_ref (N = number of columns of the matrix being clustered). Uses the spectral-norm solver (norm_mode='spectral', the default), not the row-norm solver. See run_ssc_sparse_block_tv_rowscaled in icassp_ssc_tv2/final_code/sscbench/methods.py."
surveillance, WTV-SSC, 5,  0.25,    0, "['0006', '0013', '0014', '0022', '0027']"                        , 0.004641588833612777,                    , 0.1                 ,          2,   ,                      ,   ,      100, 0.7739517863282672, 0.7616760704625709,               96,              24, gridsearch_surveillance_fold0_k5_sigma0p25_ssc_sparse_block_tv_summary.csv, "lambda_2 is NOT a flat constant -- it is derived per matrix from lambda_2_row_ref via the row-equivalent rescaling: D_raw = sliding_block_diff_matrix(N, block_size, normalize=False); f = ||D_raw||_2 / ||D_raw's row||; lambda_2 = f * lambda_2_row_ref (N = number of columns of the matrix being clustered). Uses the spectral-norm solver (norm_mode='spectral', the default), not the row-norm solver. See run_ssc_sparse_block_tv_rowscaled in icassp_ssc_tv2/final_code/sscbench/methods.py."
surveillance, WTV-SSC, 5,  0.5 ,    0, "['0006', '0013', '0014', '0022', '0027']"                        , 0.021544346900318832,                    , 0.1                 ,          3,   ,                      ,   ,      100, 0.69665539056547  , 0.7401102937023851,               96,              24, gridsearch_surveillance_fold0_k5_sigma0p5_ssc_sparse_block_tv_summary.csv , "lambda_2 is NOT a flat constant -- it is derived per matrix from lambda_2_row_ref via the row-equivalent rescaling: D_raw = sliding_block_diff_matrix(N, block_size, normalize=False); f = ||D_raw||_2 / ||D_raw's row||; lambda_2 = f * lambda_2_row_ref (N = number of columns of the matrix being clustered). Uses the spectral-norm solver (norm_mode='spectral', the default), not the row-norm solver. See run_ssc_sparse_block_tv_rowscaled in icassp_ssc_tv2/final_code/sscbench/methods.py."
surveillance, WTV-SSC, 5,  0.0 ,    1, "['0004', '0009', '0019', '0025', '0026']"                        , 0.021544346900318832,                    , 0.021544346900318832,          2,   ,                      ,   ,      100, 0.8863697353486955, 0.9669881416458829,               96,              24, gridsearch_surveillance_fold1_k5_sigma0_ssc_sparse_block_tv_summary.csv   , "lambda_2 is NOT a flat constant -- it is derived per matrix from lambda_2_row_ref via the row-equivalent rescaling: D_raw = sliding_block_diff_matrix(N, block_size, normalize=False); f = ||D_raw||_2 / ||D_raw's row||; lambda_2 = f * lambda_2_row_ref (N = number of columns of the matrix being clustered). Uses the spectral-norm solver (norm_mode='spectral', the default), not the row-norm solver. See run_ssc_sparse_block_tv_rowscaled in icassp_ssc_tv2/final_code/sscbench/methods.py."
surveillance, WTV-SSC, 5,  0.25,    1, "['0004', '0009', '0019', '0025', '0026']"                        , 0.004641588833612777,                    , 0.1                 ,          2,   ,                      ,   ,      100, 0.7413572416095479, 0.8920542493374478,               96,              24, gridsearch_surveillance_fold1_k5_sigma0p25_ssc_sparse_block_tv_summary.csv, "lambda_2 is NOT a flat constant -- it is derived per matrix from lambda_2_row_ref via the row-equivalent rescaling: D_raw = sliding_block_diff_matrix(N, block_size, normalize=False); f = ||D_raw||_2 / ||D_raw's row||; lambda_2 = f * lambda_2_row_ref (N = number of columns of the matrix being clustered). Uses the spectral-norm solver (norm_mode='spectral', the default), not the row-norm solver. See run_ssc_sparse_block_tv_rowscaled in icassp_ssc_tv2/final_code/sscbench/methods.py."
surveillance, WTV-SSC, 5,  0.5 ,    1, "['0004', '0009', '0019', '0025', '0026']"                        , 0.021544346900318832,                    , 0.1                 ,          3,   ,                      ,   ,      100, 0.665707939286937 , 0.8639000988165169,               96,              24, gridsearch_surveillance_fold1_k5_sigma0p5_ssc_sparse_block_tv_summary.csv , "lambda_2 is NOT a flat constant -- it is derived per matrix from lambda_2_row_ref via the row-equivalent rescaling: D_raw = sliding_block_diff_matrix(N, block_size, normalize=False); f = ||D_raw||_2 / ||D_raw's row||; lambda_2 = f * lambda_2_row_ref (N = number of columns of the matrix being clustered). Uses the spectral-norm solver (norm_mode='spectral', the default), not the row-norm solver. See run_ssc_sparse_block_tv_rowscaled in icassp_ssc_tv2/final_code/sscbench/methods.py."
surveillance, WTV-SSC, 8,  0.0 ,    0, "['0004', '0006', '0009', '0013', '0014', '0022', '0026', '0027']", 0.004641588833612777,                    , 0.021544346900318832,          2,   ,                      ,   ,      100, 0.8605945800406691, 0.9206772892724088,               48,              24, gridsearch_surveillance_fold0_k8_sigma0_ssc_sparse_block_tv_summary.csv   , "lambda_2 is NOT a flat constant -- it is derived per matrix from lambda_2_row_ref via the row-equivalent rescaling: D_raw = sliding_block_diff_matrix(N, block_size, normalize=False); f = ||D_raw||_2 / ||D_raw's row||; lambda_2 = f * lambda_2_row_ref (N = number of columns of the matrix being clustered). Uses the spectral-norm solver (norm_mode='spectral', the default), not the row-norm solver. See run_ssc_sparse_block_tv_rowscaled in icassp_ssc_tv2/final_code/sscbench/methods.py."
surveillance, WTV-SSC, 8,  0.25,    0, "['0004', '0006', '0009', '0013', '0014', '0022', '0026', '0027']", 0.004641588833612777,                    , 2.154434690031882   ,          2,   ,                      ,   ,      100, 0.7081319053218781, 0.8205120987920119,               48,              24, gridsearch_surveillance_fold0_k8_sigma0p25_ssc_sparse_block_tv_summary.csv, "lambda_2 is NOT a flat constant -- it is derived per matrix from lambda_2_row_ref via the row-equivalent rescaling: D_raw = sliding_block_diff_matrix(N, block_size, normalize=False); f = ||D_raw||_2 / ||D_raw's row||; lambda_2 = f * lambda_2_row_ref (N = number of columns of the matrix being clustered). Uses the spectral-norm solver (norm_mode='spectral', the default), not the row-norm solver. See run_ssc_sparse_block_tv_rowscaled in icassp_ssc_tv2/final_code/sscbench/methods.py."
surveillance, WTV-SSC, 8,  0.5 ,    0, "['0004', '0006', '0009', '0013', '0014', '0022', '0026', '0027']", 0.021544346900318832,                    , 0.1                 ,          3,   ,                      ,   ,      100, 0.6493083782536515, 0.773278599141074 ,               48,              24, gridsearch_surveillance_fold0_k8_sigma0p5_ssc_sparse_block_tv_summary.csv , "lambda_2 is NOT a flat constant -- it is derived per matrix from lambda_2_row_ref via the row-equivalent rescaling: D_raw = sliding_block_diff_matrix(N, block_size, normalize=False); f = ||D_raw||_2 / ||D_raw's row||; lambda_2 = f * lambda_2_row_ref (N = number of columns of the matrix being clustered). Uses the spectral-norm solver (norm_mode='spectral', the default), not the row-norm solver. See run_ssc_sparse_block_tv_rowscaled in icassp_ssc_tv2/final_code/sscbench/methods.py."
surveillance, WTV-SSC, 8,  0.0 ,    1, "['0001', '0005', '0011', '0015', '0019', '0023', '0024', '0025']", 0.021544346900318832,                    , 0.021544346900318832,          2,   ,                      ,   ,      100, 0.8858204724220773, 0.8615332564247528,               48,              24, gridsearch_surveillance_fold1_k8_sigma0_ssc_sparse_block_tv_summary.csv   , "lambda_2 is NOT a flat constant -- it is derived per matrix from lambda_2_row_ref via the row-equivalent rescaling: D_raw = sliding_block_diff_matrix(N, block_size, normalize=False); f = ||D_raw||_2 / ||D_raw's row||; lambda_2 = f * lambda_2_row_ref (N = number of columns of the matrix being clustered). Uses the spectral-norm solver (norm_mode='spectral', the default), not the row-norm solver. See run_ssc_sparse_block_tv_rowscaled in icassp_ssc_tv2/final_code/sscbench/methods.py."
surveillance, WTV-SSC, 8,  0.25,    1, "['0001', '0005', '0011', '0015', '0019', '0023', '0024', '0025']", 0.021544346900318832,                    , 2.154434690031882   ,          2,   ,                      ,   ,      100, 0.7816254574370706, 0.6970728346306992,               48,              24, gridsearch_surveillance_fold1_k8_sigma0p25_ssc_sparse_block_tv_summary.csv, "lambda_2 is NOT a flat constant -- it is derived per matrix from lambda_2_row_ref via the row-equivalent rescaling: D_raw = sliding_block_diff_matrix(N, block_size, normalize=False); f = ||D_raw||_2 / ||D_raw's row||; lambda_2 = f * lambda_2_row_ref (N = number of columns of the matrix being clustered). Uses the spectral-norm solver (norm_mode='spectral', the default), not the row-norm solver. See run_ssc_sparse_block_tv_rowscaled in icassp_ssc_tv2/final_code/sscbench/methods.py."
surveillance, WTV-SSC, 8,  0.5 ,    1, "['0001', '0005', '0011', '0015', '0019', '0023', '0024', '0025']", 0.021544346900318832,                    , 0.1                 ,          3,   ,                      ,   ,      100, 0.7008662581258752, 0.6701628393966264,               48,              24, gridsearch_surveillance_fold1_k8_sigma0p5_ssc_sparse_block_tv_summary.csv , "lambda_2 is NOT a flat constant -- it is derived per matrix from lambda_2_row_ref via the row-equivalent rescaling: D_raw = sliding_block_diff_matrix(N, block_size, normalize=False); f = ||D_raw||_2 / ||D_raw's row||; lambda_2 = f * lambda_2_row_ref (N = number of columns of the matrix being clustered). Uses the spectral-norm solver (norm_mode='spectral', the default), not the row-norm solver. See run_ssc_sparse_block_tv_rowscaled in icassp_ssc_tv2/final_code/sscbench/methods.py."
