panel    , method , k, walk_std, lambda_1              , lambda_2            , lambda_2_row_ref      , block_size, d, lam                , s , max_iter, train_ari         , test_ari           , n_test_matrices, source_file                                                            , notes
blocksize, WTV-SSC, 5,     0.0 , 0.1                   ,                     , 1                     ,          3,  ,                    ,   ,      100,                   , 0.9974029851781665 ,              20, blocksize_sweep_shared_lambda_rowscaled_no_outlier.csv (icassp_ssc_tv2), "fixed lambda_1/lambda_2_row_ref, block_size swept (not tuned)"
blocksize, WTV-SSC, 5,     0.0 , 0.1                   ,                     , 1                     ,          4,  ,                    ,   ,      100,                   , 0.9965875336596742 ,              20, blocksize_sweep_shared_lambda_rowscaled_no_outlier.csv (icassp_ssc_tv2), "fixed lambda_1/lambda_2_row_ref, block_size swept (not tuned)"
blocksize, WTV-SSC, 5,     0.0 , 0.1                   ,                     , 1                     ,          5,  ,                    ,   ,      100,                   , 0.9894285271591065 ,              20, blocksize_sweep_shared_lambda_rowscaled_no_outlier.csv (icassp_ssc_tv2), "fixed lambda_1/lambda_2_row_ref, block_size swept (not tuned)"
blocksize, WTV-SSC, 5,     0.0 , 0.1                   ,                     , 1                     ,          6,  ,                    ,   ,      100,                   , 0.949285858811343  ,              20, blocksize_sweep_shared_lambda_rowscaled_no_outlier.csv (icassp_ssc_tv2), "fixed lambda_1/lambda_2_row_ref, block_size swept (not tuned)"
blocksize, WTV-SSC, 5,     0.0 , 0.1                   ,                     , 1                     ,          7,  ,                    ,   ,      100,                   , 0.9405805115110825 ,              20, blocksize_sweep_shared_lambda_rowscaled_no_outlier.csv (icassp_ssc_tv2), "fixed lambda_1/lambda_2_row_ref, block_size swept (not tuned)"
blocksize, WTV-SSC, 5,     0.0 , 0.1                   ,                     , 1                     ,          8,  ,                    ,   ,      100,                   , 0.9521441441273352 ,              20, blocksize_sweep_shared_lambda_rowscaled_no_outlier.csv (icassp_ssc_tv2), "fixed lambda_1/lambda_2_row_ref, block_size swept (not tuned)"
blocksize, WTV-SSC, 5,     0.0 , 0.1                   ,                     , 1                     ,         10,  ,                    ,   ,      100,                   , 0.8382274817210863 ,              20, blocksize_sweep_shared_lambda_rowscaled_no_outlier.csv (icassp_ssc_tv2), "fixed lambda_1/lambda_2_row_ref, block_size swept (not tuned)"
blocksize, WTV-SSC, 5,     0.0 , 0.1                   ,                     , 1                     ,         12,  ,                    ,   ,      100,                   , 0.8091454405019606 ,              20, blocksize_sweep_shared_lambda_rowscaled_no_outlier.csv (icassp_ssc_tv2), "fixed lambda_1/lambda_2_row_ref, block_size swept (not tuned)"
blocksize, WTV-SSC, 5,     0.0 , 0.1                   ,                     , 1                     ,         15,  ,                    ,   ,      100,                   , 0.6289764906857213 ,              20, blocksize_sweep_shared_lambda_rowscaled_no_outlier.csv (icassp_ssc_tv2), "fixed lambda_1/lambda_2_row_ref, block_size swept (not tuned)"
blocksize, WTV-SSC, 5,     0.1 , 0.1                   ,                     , 1                     ,          2,  ,                    ,   ,      100,                   , 0.9943020719580671 ,              20, blocksize_sweep_shared_lambda_rowscaled_no_outlier.csv (icassp_ssc_tv2), "fixed lambda_1/lambda_2_row_ref, block_size swept (not tuned)"
blocksize, WTV-SSC, 5,     0.1 , 0.1                   ,                     , 1                     ,          3,  ,                    ,   ,      100,                   , 0.9936700517962113 ,              20, blocksize_sweep_shared_lambda_rowscaled_no_outlier.csv (icassp_ssc_tv2), "fixed lambda_1/lambda_2_row_ref, block_size swept (not tuned)"
blocksize, WTV-SSC, 5,     0.1 , 0.1                   ,                     , 1                     ,          4,  ,                    ,   ,      100,                   , 0.9812465992982153 ,              20, blocksize_sweep_shared_lambda_rowscaled_no_outlier.csv (icassp_ssc_tv2), "fixed lambda_1/lambda_2_row_ref, block_size swept (not tuned)"
blocksize, WTV-SSC, 5,     0.1 , 0.1                   ,                     , 1                     ,          5,  ,                    ,   ,      100,                   , 0.9707348858931413 ,              20, blocksize_sweep_shared_lambda_rowscaled_no_outlier.csv (icassp_ssc_tv2), "fixed lambda_1/lambda_2_row_ref, block_size swept (not tuned)"
blocksize, WTV-SSC, 5,     0.1 , 0.1                   ,                     , 1                     ,          6,  ,                    ,   ,      100,                   , 0.9400476706259336 ,              20, blocksize_sweep_shared_lambda_rowscaled_no_outlier.csv (icassp_ssc_tv2), "fixed lambda_1/lambda_2_row_ref, block_size swept (not tuned)"
blocksize, WTV-SSC, 5,     0.1 , 0.1                   ,                     , 1                     ,          7,  ,                    ,   ,      100,                   , 0.9190247266551079 ,              20, blocksize_sweep_shared_lambda_rowscaled_no_outlier.csv (icassp_ssc_tv2), "fixed lambda_1/lambda_2_row_ref, block_size swept (not tuned)"
blocksize, WTV-SSC, 5,     0.1 , 0.1                   ,                     , 1                     ,          8,  ,                    ,   ,      100,                   , 0.8896967686755806 ,              20, blocksize_sweep_shared_lambda_rowscaled_no_outlier.csv (icassp_ssc_tv2), "fixed lambda_1/lambda_2_row_ref, block_size swept (not tuned)"
blocksize, WTV-SSC, 5,     0.1 , 0.1                   ,                     , 1                     ,         10,  ,                    ,   ,      100,                   , 0.8098690148510317 ,              20, blocksize_sweep_shared_lambda_rowscaled_no_outlier.csv (icassp_ssc_tv2), "fixed lambda_1/lambda_2_row_ref, block_size swept (not tuned)"
blocksize, WTV-SSC, 5,     0.1 , 0.1                   ,                     , 1                     ,         12,  ,                    ,   ,      100,                   , 0.7713494507217936 ,              20, blocksize_sweep_shared_lambda_rowscaled_no_outlier.csv (icassp_ssc_tv2), "fixed lambda_1/lambda_2_row_ref, block_size swept (not tuned)"
blocksize, WTV-SSC, 5,     0.1 , 0.1                   ,                     , 1                     ,         15,  ,                    ,   ,      100,                   , 0.6581043710451995 ,              20, blocksize_sweep_shared_lambda_rowscaled_no_outlier.csv (icassp_ssc_tv2), "fixed lambda_1/lambda_2_row_ref, block_size swept (not tuned)"
